SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
N9X49WH4G2,N9X49WH4G2,Mac,"MacBook Pro 14""",MKGQ3LL/A,1TB,SPACE GRAY,Apple (1305171),1016792434,2022-06-04T15:12:49Z,,Kandji,2022-10-13T10:32:04Z
P52QC26663,P52QC26663,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0561199,2023-08-28T15:10:00Z,,Kandji,2023-08-28T15:10:00Z
Q4F5Q4LGQF,Q4F5Q4LGQF,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0370350,2023-07-19T11:18:16Z,,Kandji,2023-07-19T11:18:16Z
R3W4L4GY1F,R3W4L4GY1F,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),1018483351,2023-01-30T17:12:20Z,,Kandji,2023-01-30T17:12:20Z
TH47W6722F,TH47W6722F,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),1018465401,2023-01-26T19:17:22Z,,Kandji,2023-01-26T19:17:22Z
VJLVQV2JYL,VJLVQV2JYL,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0370350,2023-07-19T11:17:38Z,,Kandji,2023-07-19T11:17:38Z
W03HN2L6KR,W03HN2L6KR,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0329522,2023-07-11T11:21:06Z,,Kandji,2023-07-11T11:21:06Z
WTQXCJP6F9,WTQXCJP6F9,Mac,"MacBook Pro 14""",Z15G,2TB,SPACE GRAY,Apple (1305171),1016181539,2022-02-07T04:00:44Z,,Kandji,2022-10-13T11:51:22Z
X992D0Q06Y,X992D0Q06Y,Mac,"MacBook Pro 13""",Z16S,512GB,SPACE GRAY,Apple (1305171),1018215450,2022-12-13T03:24:42Z,,Kandji,2022-12-13T03:24:42Z
XJCQC7Q49G,XJCQC7Q49G,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0370350,2023-07-19T11:17:28Z,,Kandji,2023-07-19T11:17:28Z
C02DX2SDMD6T,C02DX2SDMD6T,Mac,"MacBook Pro (16-inch, 2019)",Z0Y0,2TB,SPACE GRAY,Apple (1247140),1012327086,2022-11-18T12:25:31Z,,Kandji,2022-11-21T12:08:10Z
C02G3B72MD6M,C02G3B72MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,Apple (1247140),1015155438,2022-11-18T12:25:30Z,,Kandji,2022-11-21T12:08:10Z
